"tm","ECG","CVP"
2.611,-0.3,3.137
2.614,-0.293,2.59
2.617,-0.291,2.092
2.619,-0.291,1.594
2.622,-0.289,1.245
2.625,-0.285,0.946
2.628,-0.276,0.747
2.631,-0.267,0.548
2.633,-0.259,0.349
2.636,-0.255,0.199
2.639,-0.252,-0.05
2.642,-0.247,-0.249
2.644,-0.239,-0.448
2.647,-0.232,-0.548
2.65,-0.224,-0.548
2.653,-0.218,-0.548
2.656,-0.214,-0.598
2.658,-0.207,-0.598
2.661,-0.197,-0.548
2.664,-0.188,-0.548
2.667,-0.182,-0.498
2.669,-0.177,-0.448
2.672,-0.172,-0.299
2.675,-0.168,-0.249
2.678,-0.161,-0.199
2.681,-0.147,-0.1
2.683,-0.133,-0.05
2.686,-0.127,0
2.689,-0.127,0.1
2.692,-0.125,0.199
2.694,-0.117,0.199
2.697,-0.106,0.149
2.7,-0.096,0.1
2.703,-0.091,0.05
2.706,-0.087,0
2.708,-0.079,-0.1
2.711,-0.068,-0.1
2.714,-0.06,-0.05
2.717,-0.055,-0.05
2.719,-0.053,-0.199
2.722,-0.049,-0.398
2.725,-0.045,-0.448
2.728,-0.038,-0.299
2.731,-0.026,-0.249
2.733,-0.017,-0.299
2.736,-0.017,-0.498
2.739,-0.019,-0.548
2.742,-0.015,-0.498
2.744,-0.004,-0.448
2.747,0.004,-0.398
2.75,0.007,-0.448
2.753,0.01,-0.498
2.756,0.012,-0.498
2.758,0.013,-0.448
2.761,0.021,-0.398
2.764,0.031,-0.349
2.767,0.037,-0.299
2.769,0.037,-0.299
2.772,0.035,-0.349
2.775,0.037,-0.249
2.778,0.043,-0.1
2.781,0.047,-0.05
2.783,0.049,-0.1
2.786,0.052,-0.05
2.789,0.057,0.1
2.792,0.063,0.249
2.794,0.068,0.299
2.797,0.071,0.299
2.8,0.072,0.349
2.803,0.07,0.398
2.806,0.068,0.498
2.808,0.072,0.647
2.811,0.079,0.797
2.814,0.083,0.797
2.817,0.081,0.797
2.819,0.078,0.797
2.822,0.078,0.896
2.825,0.081,1.046
2.828,0.084,1.195
2.831,0.088,1.245
2.833,0.089,1.245
2.836,0.087,1.245
2.839,0.084,1.394
2.842,0.083,1.544
2.844,0.088,1.643
2.847,0.094,1.643
2.85,0.095,1.643
2.853,0.093,1.693
2.856,0.089,1.743
2.858,0.087,1.843
2.861,0.091,1.843
2.864,0.096,1.793
2.867,0.098,1.643
2.869,0.096,1.594
2.872,0.094,1.594
2.875,0.095,1.594
2.878,0.098,1.544
2.881,0.099,1.444
2.883,0.1,1.295
2.886,0.1,1.195
2.889,0.101,1.145
2.892,0.104,1.096
2.894,0.107,0.996
2.897,0.108,0.896
2.9,0.107,0.847
2.903,0.105,0.847
2.906,0.104,0.946
2.908,0.107,0.996
2.911,0.112,1.046
2.914,0.113,1.046
2.917,0.109,1.046
2.919,0.103,1.145
2.922,0.102,1.195
2.925,0.105,1.245
2.928,0.108,1.245
2.931,0.113,1.245
2.933,0.117,1.195
2.936,0.118,1.145
2.939,0.113,1.195
2.942,0.109,1.195
2.944,0.109,1.195
2.947,0.113,1.046
2.95,0.117,0.896
2.953,0.116,0.647
2.956,0.112,0.598
2.958,0.11,0.847
2.961,0.113,1.195
2.964,0.118,1.345
2.967,0.117,1.345
2.969,0.112,1.295
2.972,0.11,1.195
2.975,0.111,1.096
2.978,0.113,1.046
2.981,0.115,1.195
2.983,0.118,1.394
2.986,0.117,1.494
2.989,0.112,1.444
2.992,0.108,1.345
2.994,0.11,1.245
2.997,0.113,1.195
3,0.113,1.195
3.003,0.112,1.245
3.006,0.114,1.145
3.008,0.118,1.046
3.011,0.119,1.046
3.014,0.12,1.245
3.017,0.12,1.295
3.019,0.118,1.245
3.022,0.115,1.096
3.025,0.113,1.145
3.028,0.114,1.195
3.031,0.118,1.195
3.033,0.118,1.145
3.036,0.115,1.096
3.039,0.113,1.096
3.042,0.116,1.145
3.044,0.12,1.195
3.047,0.122,1.245
3.05,0.121,1.195
3.053,0.118,1.096
